Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
15860,State of Fear,Michael Crichton,"Crichton, Michael",,"=""""","=""""",0,3.71,Avon,Mass Market Paperback,672,2005,2004,,2025/01/10,to-read,to-read (#220),to-read,,,,0,0
31741,Innocent Erendira and Other Stories,Gabriel García Márquez,"Márquez, Gabriel García",Gregory Rabassa,"=""0060751584""","=""9780060751586""",0,3.89,Perennial Classics,Paperback,183,2005,1972,,2025/01/10,to-read,to-read (#219),to-read,,,,0,0
7714,Pygmalion,George Bernard Shaw,"Shaw, George Bernard",,"=""0486282228""","=""9780486282220""",0,3.89,Dover Publications,Paperback,82,1994,1913,,2025/01/10,to-read,to-read (#218),to-read,,,,0,0
28186,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",Rick Riordan,"Riordan, Rick",,"=""0786856866""","=""9780786856862""",3,4.24,Hyperion Books,Hardcover,279,2006,2006,,2025/01/10,,,read,,,,1,0
30184677,The Black Cat and Other Stories,Edgar Allan Poe,"Poe, Edgar Allan",Shinta Dewi,"=""""","=""""",0,3.89,Nourabooks,Paperback,388,2016,1984,,2025/01/10,to-read,to-read (#217),to-read,,,,0,0
5326,A Christmas Carol,Charles Dickens,"Dickens, Charles",Joe L. Wheeler,"=""1561797464""","=""9781561797462""",0,4.09,Bethany House Publishers ,Paperback,184,1999,1843,,2025/01/10,to-read,to-read (#215),to-read,,,,0,0
99561,Looking for Alaska,John Green,"Green, John",,"=""1435249151""","=""9781435249158""",0,3.96,Speak,Paperback,221,2006,2005,,2025/01/10,to-read,to-read (#214),to-read,,,,0,0
23887,The Autumn of the Patriarch,Gabriel García Márquez,"Márquez, Gabriel García",Gregory Rabassa,"=""0060882867""","=""9780060882860""",0,3.86,Harper Perennial Modern Classics,Paperback,255,2006,1975,,2025/01/10,to-read,to-read (#213),to-read,,,,0,0
295,Treasure Island,Robert Louis Stevenson,"Stevenson, Robert Louis",N.C. Wyeth,"=""0753453800""","=""9780753453803""",0,3.85,Kingfisher,Hardcover,352,2001,1882,,2025/01/10,to-read,to-read (#212),to-read,,,,0,0
561456,"The Titan’s Curse (Percy Jackson and the Olympians, #3)",Rick Riordan,"Riordan, Rick",,"=""""","=""""",3,4.37,Puffin Books,Kindle Edition,352,2007,2007,,2025/01/10,,,read,,,,1,0
762,Crónica de una muerte anunciada,Gabriel García Márquez,"Márquez, Gabriel García",,"=""1400034957""","=""9781400034956""",0,3.97,Vintage Español,Paperback,118,2003,1981,,2025/01/10,to-read,to-read (#211),to-read,,,,0,0
105189,The Story of a Shipwrecked Sailor,Gabriel García Márquez,"Márquez, Gabriel García",Randolph Hogan,"=""""","=""9780140157550""",0,3.85,Penguin Books,Paperback,106,1996,1955,,2025/01/10,to-read,to-read (#210),to-read,,,,0,0
144974,The Velveteen Rabbit,Margery Williams Bianco,"Bianco, Margery Williams",William   Nicholson,"=""0380002558""","=""9780380002559""",0,4.31,Avon,Paperback,40,1987,1922,,2025/01/10,to-read,to-read (#209),to-read,,,,0,0
23876,Of Love and Other Demons,Gabriel García Márquez,"Márquez, Gabriel García",,"=""0517405091""","=""9780517405093""",0,3.95,Random House Value Publishing,Paperback,160,1999,1994,,2025/01/10,to-read,to-read (#208),to-read,,,,0,0
2161733,"Child 44 (Leo Demidov, #1)",Tom Rob Smith,"Smith, Tom Rob",,"=""0446402397""","=""9780446402392""",0,4.11,Grand Central Publishing,Mass Market Paperback,509,2009,2008,,2025/01/10,to-read,to-read (#207),to-read,,,,0,0
99300,The Yellow Wallpaper and Other Stories,Charlotte Perkins Gilman,"Gilman, Charlotte Perkins",,"=""0486298574""","=""9780486298573""",0,4.07,Dover Publications,Paperback,129,1997,1892,,2025/01/10,to-read,to-read (#206),to-read,,,,0,0
9361589,The Night Circus,Erin Morgenstern,"Morgenstern, Erin",,"=""""","=""9780385534635""",0,4.00,Doubleday,Hardcover,506,2011,2011,,2025/01/10,to-read,to-read (#205),to-read,,,,0,0
36478784,The Flatshare,Beth O'Leary,"O'Leary, Beth",,"=""1787474402""","=""9781787474406""",0,3.98,Quercus,Hardcover,394,2019,2019,,2025/01/10,to-read,to-read (#204),to-read,,,,0,0
58437812,She Gets the Girl,Rachael Lippincott,"Lippincott, Rachael",Alyson Derrick,"=""1534493794""","=""9781534493797""",0,4.08,Simon & Schuster Books for Young Readers,Hardcover,384,2022,2022,,2025/01/10,to-read,to-read (#203),to-read,,,,0,0
13,"The Ultimate Hitchhiker’s Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1-5)",Douglas Adams,"Adams, Douglas",,"=""0345453743""","=""9780345453747""",0,4.38,Del Rey Books,Paperback,815,2002,1996,,2025/01/10,to-read,to-read (#202),to-read,,,,0,0
4502507,"The Last Olympian (Percy Jackson and the Olympians, #5)",Rick Riordan,"Riordan, Rick",,"=""""","=""""",4,4.55,,Audio CD,11,2009,2009,,2025/01/10,,,read,,,,1,0
94486,The Invention of Morel,Adolfo Bioy Casares,"Casares, Adolfo Bioy","Jorge Luis Borges, Ruth L.C. Simms, Suzanne Jill Levine, Norah Borges de Torre","=""1590170571""","=""9781590170571""",0,3.96,New York Review Books,Paperback,103,2003,1940,,2025/01/10,to-read,to-read (#201),to-read,,,,0,0
175516,The Fall of the House of Usher,Edgar Allan Poe,"Poe, Edgar Allan",,"=""1594561796""","=""9781594561795""",0,3.85,BookSurge Classics,Paperback,36,2004,1839,,2025/01/10,to-read,to-read (#200),to-read,,,,0,0
56648660,Cursed Bunny,Bora Chung,"Chung, Bora",Anton Hur,"=""1916277187""","=""9781916277182""",0,3.74,Honford Star,Paperback,251,2021,2017,,2025/01/10,to-read,to-read (#199),to-read,,,,0,0
51031906,Convenience Store Woman,Sayaka Murata,"Murata, Sayaka",Ginny Tapley Takemori,"=""""","=""""",0,3.67,Grove Press,Kindle Edition,176,2019,2016,,2025/01/10,to-read,to-read (#198),to-read,,,,0,0
9777,The God of Small Things,Arundhati Roy,"Roy, Arundhati",,"=""0679457313""","=""9780679457312""",0,3.96,Random House,Paperback,321,1997,1997,,2025/01/10,to-read,to-read (#197),to-read,,,,0,0
36133196,Mrs. Dalloway,Virginia Woolf,"Woolf, Virginia",,"=""8175994215""","=""9788175994218""",0,3.78,Fingerprint! Publishing,Paperback,208,2017,1925,,2025/01/10,to-read,to-read (#196),to-read,,,,0,0
34,"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,"Tolkien, J.R.R.","Francis Ledoux, Maria Skibniewska","=""0618346252""","=""9780618346257""",0,4.41,Houghton Mifflin Harcourt,Paperback,398,2003,1954,,2025/01/10,to-read,to-read (#195),to-read,,,,0,0
865,The Alchemist,Paulo Coelho,"Coelho, Paulo",Alan R. Clarke,"=""0061122416""","=""9780061122415""",0,3.92,HarperCollins,Paperback,197,1993,1988,,2025/01/10,to-read,to-read (#194),to-read,,,,0,0
18373,Flowers for Algernon,Daniel Keyes,"Keyes, Daniel",,"=""015603008X""","=""9780156030083""",0,4.24,Harvest Books,Paperback,311,2004,1966,,2025/01/10,to-read,to-read (#193),to-read,,,,0,0
7613,Animal Farm,George Orwell,"Orwell, George","Ann Patchett, Téa Obreht","=""""","=""""",0,4.02,Plume,Paperback,129,2003,1945,,2025/01/10,to-read,to-read (#192),to-read,,,,0,0
188572,The Complete Sherlock Holmes,Arthur Conan Doyle,"Doyle, Arthur Conan",,"=""""","=""""",0,4.51,Bantam Classics,Paperback,1796,1986,1887,,2025/01/10,to-read,to-read (#191),to-read,,,,0,0
